original_original,original_city,original_area,original_abbreviation,original_state,lat,lon,formatted,name,housenumber,street,suburb,district,postcode,city,county_code,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
Kendrpara_Kapleswr_D (Orissa),Kendrpara,Kapleswr,D,Orissa,,,,,,,,,,,,,,,,,,,,,,,
Cuttack_SliprDPP_DC (Orissa),Cuttack,SliprDPP,DC,Orissa,,,,,,,,,,,,,,,,,,,,,,,
Kunnathund_Pringla_D (Kerala),Kunnathund,Pringla,D,Kerala,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Gateway_HB (Delhi),Delhi,Gateway,HB,Delhi,28.557163,77.163665,"Delhi, SW, India",,,,,,,Delhi,SW,South West Delhi,Delhi,DL,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Delhi_Kapshera_L (Delhi),Delhi,Kapshera,L,Delhi,,,,,,,,,,,,,,,,,,,,,,,
Salem (Tamil Nadu),Salem,,,Tamil Nadu,11.6551982,78.1581771,"Salem, TN, India",,,,,,636001,Salem,,Salem,Tamil Nadu,TN,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tirchngode_Mhdhvpur_D (Tamil Nadu),Tirchngode,Mhdhvpur,D,Tamil Nadu,11.052213,78.408526,"Tamil Nadu, India",Tamil Nadu,,,,,,,,,Tamil Nadu,TN,India,in,,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Moga_DPC (Punjab),Moga,,DPC,Punjab,30.8223408,75.1730967,"Moga, PB, India",,,,,,142001,Moga,,Moga Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muktsar_DPC (Punjab),Muktsar,,DPC,Punjab,30.4692,74.5182,"Sri Muktsar Sahib, PB, India",,,,,,152026,Sri Muktsar Sahib,,Muktsar Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GGN_DPC (Haryana),GGN,,DPC,Haryana,28.424852,77.030955,"Fidelity GGN, Gurugram - 122018, HR, India",Fidelity GGN,,,,,122018,Gurugram,GG,Gurugram,Haryana,HR,India,in,,0.9,,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tirunelveli_VdkkuSrt_I (Tamil Nadu),Tirunelveli,VdkkuSrt,I,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,
Vallior_Radhaprm_D (Tamil Nadu),Vallior,Radhaprm,D,Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,
Marthandam_Nallur_D (Tamil Nadu),Marthandam,Nallur,D,Tamil Nadu,8.3065018,77.2223116,"Kanyakumari, Marthandam, TN, India",,,,,Kanyakumari,629196,Marthandam,,Vilavancode,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CCU_New Alipore_DPC (West Bengal),CCU,New Alipore,DPC,West Bengal,22.5105326,88.3354264,"New Alipore, Peary Mohan Roy Road, Alipore, Kolkata - 700053, WB, India",New Alipore,,Peary Mohan Roy Road,Alipore,,700053,Kolkata,,Kolkata,West Bengal,WB,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Gorakhpur_Matriprm_IP (Uttar Pradesh),Gorakhpur,Matriprm,IP,Uttar Pradesh,26.7600217,83.3668129,"Gorakhpur, UP, India",,,,,,,Gorakhpur,,Gorakhpur,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sahatwar_PnchmDPP_D (Uttar Pradesh),Sahatwar,PnchmDPP,D,Uttar Pradesh,25.8336579,84.3045584,"Sahatwar, UP, India",,,,,,,Sahatwar,,Bansdih,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bariya_BgnprDPP_D (Uttar Pradesh),Bariya,BgnprDPP,D,Uttar Pradesh,25.7557446,84.1503303,"Ballia, UP, India",,,,,,277001,Ballia,,Ballia,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ratanpura_MubarDPP_D (Uttar Pradesh),Ratanpura,MubarDPP,D,Uttar Pradesh,26.01593,79.0676,"Ratanpura, JL, India",,,,,,,Ratanpura,JL,Jalaun,Uttar Pradesh,UP,India,in,,0.5,,1,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Chandausi_Ganesh_D (Uttar Pradesh),Chandausi,Ganesh,D,Uttar Pradesh,28.449104,78.7828513,"Chandausi, UP, India",,,,,,,Chandausi,,Sambhal,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Patiala_GainMrkt_L (Punjab),Patiala,GainMrkt,L,Punjab,,,,,,,,,,,,,,,,,,,,,,,
Malerkotla_DC (Punjab),Malerkotla,,DC,Punjab,30.533129,75.8807604,"Malerkotla, PB, India",,,,,,148023,Malerkotla,,Malerkotla Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sunam_DC (Punjab),Sunam,,DC,Punjab,30.134004,75.8062777,"Sunam, PB, India",,,,,,148028,Sunam,,Sunam Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Patiala (Punjab),Patiala,,,Punjab,30.3295605,76.4127819,"Patiala, PB, India",,,,,,,Patiala,,Patiala Tahsil,Punjab,PB,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Moradabad_DC (Uttar Pradesh),Moradabad,,DC,Uttar Pradesh,28.8334982,78.7732864,"Moradabad, UP, India",,,,,,244001,Moradabad,,Moradabad,Uttar Pradesh,UP,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rudrapur_UdhamNgr_H (Uttarakhand),Rudrapur,UdhamNgr,H,Uttarakhand,28.9707183,79.3972845,"Rudrapur, UT, India",,,,,,263153,Rudrapur,,Kichha,Uttarakhand,UT,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dibrugarh_Bokule_H (Assam),Dibrugarh,Bokule,H,Assam,27.4844597,94.9019447,"Dibrugarh, AS, India",,,,,,786001,Dibrugarh,,Dibrugarh East,Assam,AS,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Digboi_JyotiNgr_D (Assam),Digboi,JyotiNgr,D,Assam,27.3956145,95.614868,"Digboi, AS, India",,,,,,786171,Digboi,,Margherita,Assam,AS,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Margherita_CivilHPL_D (Assam),Margherita,CivilHPL,D,Assam,27.2895321,95.6727142,"Margherita, AS, India",,,,,,,Margherita,,Margherita,Assam,AS,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Itarsi_DivrsnRd_D (Madhya Pradesh),Itarsi,DivrsnRd,D,Madhya Pradesh,22.610098,77.768202,"Itarsi, HO, India",,,,,,,Itarsi,HO,Hoshangabad,Madhya Pradesh,MP,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Betul_PatelWrd_D (Madhya Pradesh),Betul,PatelWrd,D,Madhya Pradesh,21.8998192,77.8959149,"Betul, MP, India",,,,,,460001,Betul,,Betul Tahsil,Madhya Pradesh,MP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pandhurna_Mataward_D (Madhya Pradesh),Pandhurna,Mataward,D,Madhya Pradesh,21.594006,78.52534,"Pandhurna, CN, India",,,,,,,Pandhurna,CN,Chhindwara,Madhya Pradesh,MP,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kurnool_AbbasNgr_I (Andhra Pradesh),Kurnool,AbbasNgr,I,Andhra Pradesh,15.8309251,78.0425373,"Kurnool, AP, India",,,,,,518001,Kurnool,,Kurnool,Andhra Pradesh,AP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Wanaparthy_VallaDPP_D (Telangana),Wanaparthy,VallaDPP,D,Telangana,16.3617799,78.0610836,"Wanaparthy, TG, India",,,,,,509103,Wanaparthy,,Wanaparthy mandal,Telangana,TG,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amravati_DC (Maharashtra),Amravati,,DC,Maharashtra,20.9316219,77.7588455,"Amravati, MH, India",,,,,,444600,Amravati,,Amravati,Maharashtra,MH,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Akola_Gaurkshn_I (Maharashtra),Akola,Gaurkshn,I,Maharashtra,,,,,,,,,,,,,,,,,,,,,,,
Ghaziabad_MohanNgr_C (Uttar Pradesh),Ghaziabad,MohanNgr,C,Uttar Pradesh,28.6711527,77.4120356,"Ghaziabad, UP, India",,,,,,,Ghaziabad,,Ghaziabad,Uttar Pradesh,UP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kolhapur_Shivaji_I (Maharashtra),Kolhapur,Shivaji,I,Maharashtra,16.6978819,74.2229951,"Shivaji Road, Kolhapur - 416002, MH, India",Shivaji Road,,Shivaji Road,,,416002,Kolhapur,,Karvir,Maharashtra,MH,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nipani_AkkolRD_D (Karnataka),Nipani,AkkolRD,D,Karnataka,16.4020402,74.3842372,"Nippani, KA, India",,,,,,591237,Nippani,,Nippani taluka,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chikodi_IndraNgr_D (Karnataka),Chikodi,IndraNgr,D,Karnataka,16.428025,74.584927,"Chikodi, KA, India",,,,,,,Chikodi,,Belgaum,Karnataka,KA,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Athani_VikrmMah_D (Karnataka),Athani,VikrmMah,D,Karnataka,16.7270022,75.0631428,"Athani, KA, India",,,,,,591304,Athani,,Athani taluku,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bijapur_Central_D_2 (Karnataka),Bijapur,Central,D2,Karnataka,16.824701,75.715464,"Central Bus Station, Vijayapura - 586101, KA, India",,,Central Bus Station,,,586101,Vijayapura,BJ,Bijapur,Karnataka,KA,India,in,,0.81,0.81,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FBD_Balabhgarh_DPC (Haryana),FBD,Balabhgarh,DPC,Haryana,29.143027,76.342784,"Haryana, India",Haryana,,,,,,,,,Haryana,HR,India,in,,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Palwal (Haryana),Palwal,,,Haryana,29.950103849999998,76.87257663061018,"Palwal, HR, India",,,,,,,Palwal,,Thanesar,Haryana,HR,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Narsinghpur_KndliDPP_D (Madhya Pradesh),Narsinghpur,KndliDPP,D,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,
Gadarwara_MPward_D (Madhya Pradesh),Gadarwara,MPward,D,Madhya Pradesh,22.9236049,78.784917,"Gadarwara, MP, India",,,,,,487551,Gadarwara,,Saikheda Tahsil,Madhya Pradesh,MP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kalka_Pinjore_DC (Haryana),Kalka,Pinjore,DC,Haryana,30.8042411,76.9149498,"Pinjore, HR, India",,,,,,134102,Pinjore,,Kalka,Haryana,HR,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nalagarh_Central_DPP_2 (Himachal Pradesh),Nalagarh,Central,DPP2,Himachal Pradesh,31.042466,76.7176443,"Nalagarh, HP, India",,,,,,174100,Nalagarh,,Nalagarh,Himachal Pradesh,HP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jorhat_RicMilRd_D (Assam),Jorhat,RicMilRd,D,Assam,26.7577925,94.2079645,"Jorhat, AS, India",,,,,,785001,Jorhat,,Jorhat East,Assam,AS,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Teok_Wardno3_D (Assam),Teok,Wardno3,D,Assam,26.8349054,94.4179545,"Teok, AS, India",,,,,,785112,Teok,,Teok,Assam,AS,India,in,,0.25,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mariani_Mainroad_D (Assam),Mariani,Mainroad,D,Assam,26.6539744,94.3165916,"Mariani, AS, India",,,,,,785634,Mariani,,Mariani,Assam,AS,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bengaluru_Kengeri_IP (Karnataka),Bengaluru,Kengeri,IP,Karnataka,12.9176571,77.4837568,"Kengeri Main Road, Kengeri, Mailasandra - 560060, KA, India",Kengeri,,Kengeri Main Road,Kengeri,Kengeri Satelite Town,560060,Mailasandra,,Bangalore South,Karnataka,KA,India,in,,0.6,0.6,0.6666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sitamari_Durma_D (Bihar),Sitamari,Durma,D,Bihar,25.94619,86.55928,"Durma, SH, India",,,,,,,Durma,SH,Saharsa,Bihar,BR,India,in,,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Benipatti_WardNo1_D (Bihar),Benipatti,WardNo1,D,Bihar,26.4433519,85.9027054,"Benipatti, BR, India",,,,,,847223,Benipatti,,Benipatti,Bihar,BR,India,in,,0.25,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sitarganj_SidculRd_D (Uttarakhand),Sitarganj,SidculRd,D,Uttarakhand,28.9277351,79.7028923,"Sitarganj, UT, India",,,,,,262405,Sitarganj,,Sitarganj,Uttarakhand,UT,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trivandrum_Pettah_D (Kerala),Trivandrum,Pettah,D,Kerala,8.4956092,76.9293622,"Pettah, Thiruvananthapuram, KL, India",,,,Pettah,,695001,Thiruvananthapuram,,Thiruvananthapuram,Kerala,KL,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neyatinkra_Arlumodu_D (Kerala),Neyatinkra,Arlumodu,D,Kerala,,,,,,,,,,,,,,,,,,,,,,,
Kallikkad_Mutyvila_D (Kerala),Kallikkad,Mutyvila,D,Kerala,8.530675,77.128582,"Kallikkad, KL, India",,,,,,,Kallikkad,,Thiruvananthapuram,Kerala,KL,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Islampur_Shantanu_D (Maharashtra),Islampur,Shantanu,D,Maharashtra,18.969921,73.019679,"Shantanu Heights, Ulwe, Gavhan -, MH, India",,,Shantanu Heights,Ulwe,,,Gavhan,RG,Raigarh,Maharashtra,MH,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karad_Mundhe_D (Maharashtra),Karad,Mundhe,D,Maharashtra,17.2852127,74.1822147,"Karad, MH, India",,,,,,415100,Karad,,Karad,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chiplun_LxmiNiws_D (Maharashtra),Chiplun,LxmiNiws,D,Maharashtra,17.5330311,73.5123013,"Chiplun, MH, India",,,,,,415600,Chiplun,,Chiplun Taluka,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kolkata_TrtllaRD_L (West Bengal),Kolkata,TrtllaRD,L,West Bengal,22.5726459,88.3638953,"Kolkata, WB, India",,,,,,,Kolkata,,Kolkata,West Bengal,WB,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chennai_Mdhavram_C (Tamil Nadu),Chennai,Mdhavram,C,Tamil Nadu,13.0836939,80.270186,"Chennai, TN, India",,,,,,600001,Chennai,,Chennai,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jaipur (Rajasthan),Jaipur,,,Rajasthan,26.9154576,75.8189817,"Jaipur, RJ, India",,,,,,302001,Jaipur,,Jaipur Tehsil,Rajasthan,RJ,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sehore_Mangalam_D (Madhya Pradesh),Sehore,Mangalam,D,Madhya Pradesh,23.206591,77.085301,"Sehore, SR, India",,,,,,,Sehore,SR,Sehore,Madhya Pradesh,MP,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Ashta_ShantiNg_D (Madhya Pradesh),Ashta,ShantiNg,D,Madhya Pradesh,35.07528,117.45778,"Shanting District, SD, China",,,,,,,Shanting District,,Zaozhuang,Shandong,SD,China,cn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Rajgurunagar_Chakan_D (Maharashtra),Rajgurunagar,Chakan,D,Maharashtra,18.8555378,73.8863954,"Rajgurunagar, Khed, MH, India",,,,Rajgurunagar,,412205,Khed,,Khed,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Talegaon_Central_DPP_4 (Maharashtra),Talegaon,Central,DPP4,Maharashtra,19.695819,74.298499,"Talegaon, AH, India",,,,,,,Talegaon,AH,Ahmednagar,Maharashtra,MH,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Guskhara_Itachnda_D (West Bengal),Guskhara,Itachnda,D,West Bengal,23.491251,87.734645,"Guskara, BR, India",,,,,,,Guskara,BR,Bardhaman,West Bengal,WB,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Chennai_Porur_DPC (Tamil Nadu),Chennai,Porur,DPC,Tamil Nadu,13.032696,80.167153,"Porur, Chennai, CH, India",Porur,,,Porur,Valasaravakkam,,Chennai,CH,Chennai,Tamil Nadu,TN,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Chennai_Vepmpttu_DC (Tamil Nadu),Chennai,Vepmpttu,DC,Tamil Nadu,13.0836939,80.270186,"Chennai, TN, India",,,,,,600001,Chennai,,Chennai,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chennai_Thiruvlr_DC (Tamil Nadu),Chennai,Thiruvlr,DC,Tamil Nadu,13.0836939,80.270186,"Chennai, TN, India",,,,,,600001,Chennai,,Chennai,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chandigarh_Raiprkln_C (Chandigarh),Chandigarh,Raiprkln,C,Chandigarh,30.7334421,76.7797143,"Chandigarh, CH, India",,,,,,,Chandigarh,,Chandigarh,Chandigarh,CH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Chndivli_PC (Maharashtra),Mumbai,Chndivli,PC,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_MiraRd_IP (Maharashtra),Mumbai,MiraRd,IP,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Vasai_CP (Maharashtra),Mumbai,Vasai,CP,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Davangere_Central_I_1 (Karnataka),Davangere,Central,I1,Karnataka,14.466594,75.919771,"City Central Hall, Davangere - 577000, KA, India",City Central Hall,,,,,577000,Davangere,DA,Davanagere,Karnataka,KA,India,in,,0.81,0.81,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ranebennur_SriRmNGR_D (Karnataka),Ranebennur,SriRmNGR,D,Karnataka,14.6165795,75.6341529,"Ranebennur, KA, India",,,,,,581115,Ranebennur,,Ranebennuru taluk,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haveri_GuttalRD_D (Karnataka),Haveri,GuttalRD,D,Karnataka,14.7874825,75.3996731,"Haveri, KA, India",,,,,,581110,Haveri,,Haveri taluku,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Allahabad_Central_H_1 (Uttar Pradesh),Allahabad,Central,H1,Uttar Pradesh,25.427256,81.91435,"Central Academy, Durjanpur - 211019, UP, India",Central Academy,,,,,211019,Durjanpur,AH,Allahabad,Uttar Pradesh,UP,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Attur_KaaduRd_D (Tamil Nadu),Attur,KaaduRd,D,Tamil Nadu,11.596075,78.603095,"Attur, SA, India",,,,,,,Attur,SA,Salem,Tamil Nadu,TN,India,in,,0.5,,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
BilaspurHP_Indsarea_D (Himachal Pradesh),BilaspurHP,Indsarea,D,Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,
SundarNgr_Bhogpur_D (Himachal Pradesh),SundarNgr,Bhogpur,D,Himachal Pradesh,30.58345,77.18741,"Bhogpur, SI, India",,,,,,,Bhogpur,SI,Sirmaur,Himachal Pradesh,HP,India,in,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mandi_PlaceCol_D (Himachal Pradesh),Mandi,PlaceCol,D,Himachal Pradesh,31.7084496,76.9293782,"Mandi, HP, India",,,,,,175001,Mandi,,Mandi,Himachal Pradesh,HP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kullu_AkhraBzr_D (Himachal Pradesh),Kullu,AkhraBzr,D,Himachal Pradesh,31.9578974,77.1089232,"Kullu, HP, India",,,,,,175100,Kullu,,Kullu,Himachal Pradesh,HP,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kottayam_Central_H_1 (Kerala),Kottayam,Central,H1,Kerala,9.755714,76.499292,"Central Hotel, Muttuchira - 686604, KL, India",Central Hotel,,,,,686604,Muttuchira,KT,Kottayam,Kerala,KL,India,in,,0.9,0.9,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haripad_Kumrpurm_D (Kerala),Haripad,Kumrpurm,D,Kerala,9.2844934,76.4562679,"Haripad, KL, India",,,,,,690514,Haripad,,Karthikappally,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alappuzha_Pazhvedu_D (Kerala),Alappuzha,Pazhvedu,D,Kerala,9.4980001,76.333482,"Alappuzha, KL, India",,,,,,688001,Alappuzha,,Ambalappuzha,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Theni_Rathnam_D (Tamil Nadu),Theni,Rathnam,D,Tamil Nadu,10.0108143,77.4810104,"Theni, TN, India",,,,,,,Theni,,Theni,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cumbum_LFRoad_D (Tamil Nadu),Cumbum,LFRoad,D,Tamil Nadu,9.7394057,77.2853013,"Cumbum, TN, India",,,,,,625516,Cumbum,,Uthamapalayam,Tamil Nadu,TN,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kattappana_Palikval_D (Kerala),Kattappana,Palikval,D,Kerala,9.7561717,77.1140611,"Kattappana, KL, India",,,,,,688508,Kattappana,,Idukki,Kerala,KL,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Udaipur_Mangri_I (Rajasthan),Udaipur,Mangri,I,Rajasthan,24.3187274,73.1951451,"Choki Mangri, RJ, India",,,,,,,Choki Mangri,,Kotra Tehsil,Rajasthan,RJ,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tumkur_Veersagr_I (Karnataka),Tumkur,Veersagr,I,Karnataka,13.3400771,77.1006208,"Tumakuru, KA, India",,,,,,572101,Tumakuru,,Tumkur taluk,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Doddablpur_ChikaDPP_D (Karnataka),Doddablpur,ChikaDPP,D,Karnataka,,,,,,,,,,,,,,,,,,,,,,,
Chikblapur_ShntiSgr_D (Karnataka),Chikblapur,ShntiSgr,D,Karnataka,14.882195,75.57454,"Karnataka, India",Karnataka,,,,,,,,,Karnataka,KA,India,in,,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bagepalli_TBCross_D (Karnataka),Bagepalli,TBCross,D,Karnataka,13.7834423,77.7960577,"Bagepalli, KA, India",,,,,,561207,Bagepalli,,Bagepalli taluk,Karnataka,KA,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karur (Tamil Nadu),Karur,,,Tamil Nadu,10.9596041,78.0807797,"Karur, TN, India",,,,,,,Karur,,Karur,Tamil Nadu,TN,India,in,,1,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Mumbai_Ambernath_Dc (Maharashtra),Mumbai,Ambernath,Dc,Maharashtra,19.054999,72.8692035,"Mumbai, MH, India",,,,,,,Mumbai,,,Maharashtra,MH,India,in,,0.5,,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Surat_Central_I_4 (Gujarat),Surat,Central,I4,Gujarat,21.169583,72.84339,"Central Road, Surat - 394210, GJ, India",,,Central Road,,,394210,Surat,SR,Surat,Gujarat,GJ,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Thrissur_Poothole_D (Kerala),Thrissur,Poothole,D,Kerala,10.513845,76.20391,"Poothole Road, Thrissur - 680618, KL, India",,,Poothole Road,,,680618,Thrissur,TS,Thrissur,Kerala,KL,India,in,,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vadakkencherry_Robinson_D (Kerala),Vadakkencherry,Robinson,D,Kerala,10.769428,76.652267,"Robinson Memorial Church, Palakkad - 678002, KL, India",,,Robinson Memorial Church,,,678002,Palakkad,PL,Palakkad,Kerala,KL,India,in,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pallakad_ChndrNgr_D (Kerala),Pallakad,ChndrNgr,D,Kerala,9.791129,76.746728,"Kerala, India",Kerala,,,,,,,,,Kerala,KL,India,in,,0.25,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
